ID.Cliente;Genero;Mayor65años;Socio;Dependientes;MultipleLineas;Internet;SeguridadOnline;Backup;ProteccionDispositivo;No.servicio.Internet;TVPago;PeliculasStreaming;TerminoContrato;FactElectronica;MetodoPago;CargoMensual;ImporteTotal;pemanencia;ServicioTel;Churn
7590-VHVEG;Femenino;0;Si;No;No servicio tel;DSL;No;Si;No;No;No;No;Mes a mes;Si;Cheque electronico;29.85;29.85;1;No;No
5575-GNVDE;Masculino;0;No;No;No;DSL;Si;No;Si;No;No;No;Un año;No;Cheque fisico;NA;1889.5;34;Si;No
3668-QPYBK;Masculino;0;No;No;No;DSL;Si;Si;No;No;No;No;Mes a mes;Si;Cheque fisico;53.85;108.15;2;Si;Si
7795-CFOCW;Masculino;0;No;No;No servicio tel;DSL;Si;No;Si;Si;No;No;Un año;No;TransfBanca (automatica);42.3;1840.75;45;NA;No
9237-HQITU;Femenino;0;No;No;No;Fibra Optica;No;No;No;No;No;No;Mes a mes;Si;Cheque electronico;70.7;151.65;2;Si;Si
9305-CDSKC;Femenino;0;No;No;Si;Fibra Optica;No;No;Si;No;Si;Si;Mes a mes;Si;Cheque electronico;99.65;820.5;8;Si;Si
1452-KIOVK;Masculino;0;No;Si;Si;Fibra Optica;No;Si;No;No;Si;No;Mes a mes;Si;TarjetaCredito (automatico);89.1;1949.4;22;NA;No
6713-OKOMC;Femenino;0;No;No;No servicio tel;DSL;Si;No;No;No;No;No;Mes a mes;No;Cheque fisico;29.75;301.9;10;No;No
7892-POOKP;Femenino;0;Si;No;Si;Fibra Optica;No;No;Si;Si;Si;Si;Mes a mes;Si;Cheque electronico;104.8;3046.05;28;Si;Si
6388-TABGU;Masculino;0;No;Si;No;DSL;Si;Si;No;No;No;No;Un año;No;TransfBanca (automatica);NA;3487.95;62;Si;No
9763-GRSKD;Masculino;0;Si;Si;No;DSL;Si;No;No;No;No;No;Mes a mes;Si;Cheque fisico;49.95;587.45;13;Si;No
7469-LKBCI;Masculino;0;No;No;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Dos años;No;TarjetaCredito (automatico);18.95;326.8;16;Si;No
8091-TTVAX;Masculino;0;Si;No;Si;Fibra Optica;No;No;Si;No;Si;Si;Un año;No;TarjetaCredito (automatico);NA;5681.1;58;Si;No
0280-XJGEX;Masculino;0;No;No;Si;Fibra Optica;No;Si;Si;No;Si;Si;Mes a mes;Si;TransfBanca (automatica);NA;NA;49;Si;Si
5129-JLPIS;Masculino;0;No;No;No;Fibra Optica;Si;No;Si;Si;Si;Si;Mes a mes;Si;Cheque electronico;105.5;2686.05;25;Si;No
3655-SNQYZ;Femenino;0;Si;Si;Si;Fibra Optica;Si;Si;Si;Si;Si;Si;Dos años;No;TarjetaCredito (automatico);113.25;7895.15;69;Si;No
8191-XWSZG;Femenino;0;No;No;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Un año;No;Cheque fisico;20.65;1022.95;52;Si;No
9959-WOFKT;Masculino;0;No;Si;Si;Fibra Optica;Si;No;Si;No;Si;Si;Dos años;No;TransfBanca (automatica);106.7;7382.25;71;Si;No
4190-MFLUW;Femenino;0;Si;Si;No;DSL;No;No;Si;Si;No;No;Mes a mes;No;TarjetaCredito (automatico);55.2;528.35;10;Si;Si
4183-MYFRB;Femenino;0;No;No;No;Fibra Optica;No;Si;Si;No;No;Si;Mes a mes;Si;Cheque electronico;90.05;1862.9;21;Si;No
8779-QRDMV;Masculino;1;No;No;No servicio tel;DSL;No;No;Si;No;No;Si;Mes a mes;Si;Cheque electronico;NA;39.65;1;No;Si
1680-VDCWW;Masculino;0;Si;No;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Un año;No;TransfBanca (automatica);19.8;202.25;12;Si;No
1066-JKSGK;Masculino;0;No;No;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Mes a mes;No;Cheque fisico;20.15;20.15;1;Si;Si
3638-WEABW;Femenino;0;Si;No;Si;DSL;No;Si;No;Si;No;No;Dos años;Si;TarjetaCredito (automatico);59.9;3505.1;58;Si;No
