Genero;Ocupación;Plan_Internacional;Min_En_Dia;Min_Internacionales;Reclamos;Llamadas_Internacionales;Desafiliado
Masculino;Proyectos personales;no;265.1;10;1;3;no
Masculino;Negocios;no;161.6;13.7;1;3;no
Masculino;Educación;no;243.4;12.2;0;5;no
Masculino;Proyectos personales;si;299.4;6.6;2;7;no
Masculino;Educación;si;166.7;10.1;3;3;no
Masculino;Otros;si;223.4;6.3;0;6;no
Masculino;Educación;no;218.2;7.5;3;7;no
Masculino;Proyectos personales;si;157;7.1;0;6;no
Femenino;Negocios;no;184.5;8.7;1;4;no
Masculino;Educación;si;258.6;11.2;0;5;no
Masculino;Proyectos personales;no;129.1;12.7;4;6;si
Masculino;Proyectos personales;no;187.7;9.1;0;5;no
Masculino;Negocios;no;128.8;11.2;1;2;no
Femenino;Educación;no;156.6;12.3;3;5;no
Masculino;Negocios;no;120.7;13.1;4;6;no
Femenino;Educación;no;332.9;5.4;4;9;si
Masculino;Negocios;no;196.4;13.8;1;4;no
Femenino;Educación;no;190.7;8.1;3;3;no
Femenino;Proyectos personales;no;189.7;10;1;5;no
Masculino;Negocios;no;224.4;13;1;2;no
Femenino;Educación;no;155.1;10.6;0;4;no
Femenino;Proyectos personales;no;62.4;5.7;5;6;si
Masculino;Negocios;no;183;9.5;0;19;no
Masculino;Educación;no;110.4;7.7;2;6;no
Masculino;Educación;no;81.1;10.3;0;2;no
Femenino;Proyectos personales;no;124.3;15.5;3;5;no
Femenino;Proyectos personales;no;213;9.5;0;3;no
Femenino;Negocios;no;134.3;14.7;3;4;no
Masculino;Educación;no;190;6.3;0;6;no
Femenino;Otros;no;119.3;11.1;1;1;no
Masculino;Negocios;no;84.8;14.2;2;6;no
Masculino;Educación;no;226.1;10.3;1;5;no
Masculino;Proyectos personales;no;212;12.6;3;10;no
Femenino;Proyectos personales;no;249.6;11.8;1;3;si
Femenino;Educación;no;176.8;8.3;0;4;no
Femenino;Otros;no;220;14.7;3;6;no
Femenino;Proyectos personales;no;146.3;14.5;0;6;no
Femenino;Proyectos personales;no;130.8;10;1;5;no
