IdCliente;TiempoBanco;NivelIngreso;SaldoCuenta;NumOperaMes1;NumOperaMes2;NumOperaMes3;NumOperaMes4;NumOperaMes5;NumOperaMes6;NumOperaNoBancMes1;NumOperaNoBancMes2;NumOperaNoBancMes3;NumOperaNoBancMes4;NumOperaNoBancMes5;NumOperaNoBancMes6;Moroso
666;172;0;3517.07;0;0;0;0;0;0;0;0;0;0;0;0;1
676;76;1;216.52;0;0;1;0;0;0;0;0;0;1;1;1;1
696;136;0;1908.69;0;0;0;0;0;0;0;0;0;0;0;0;1
907;171;0;1895.19;0;0;0;0;0;0;0;0;0;0;0;0;1
974;93;1;1310.43;0;0;0;0;0;0;0;0;0;0;0;0;1
986;11;0;2638.83;0;0;0;0;0;0;0;0;0;0;0;0;1
1079;52;4;7879.69;0;0;0;0;0;0;1;1;0;0;0;0;1
1083;119;1;5085.55;0;0;0;0;0;0;0;0;0;0;0;0;1
1186;9;NA;4871.7;0;0;0;0;0;1;0;0;0;0;0;0;1
1196;17;1;193.4;0;0;0;0;0;0;0;0;0;0;0;0;1
1454;122;1;83.34;0;0;0;0;0;0;0;0;0;0;0;0;1
1507;40;1;996.52;0;0;0;0;0;1;1;2;2;1;1;2;1
1532;133;1;5121.6;0;0;0;0;0;0;0;0;0;0;0;0;1
1552;59;NA;39.77;0;0;0;0;0;0;0;0;0;0;0;0;1
1594;134;1;47.54;0;0;0;0;0;0;0;1;1;0;0;1;1
1652;168;5;335.69;0;0;0;0;0;0;0;0;0;0;0;0;1
1677;178;1;3054.95;0;0;0;0;0;0;0;0;0;0;0;0;1
1717;220;3;12495.04;0;0;0;0;0;0;0;0;0;0;0;0;1
2022;16;1;5600.89;0;0;0;1;0;0;0;0;0;1;0;1;1
2070;NA;1;1174.48;0;0;0;0;0;0;0;0;0;0;0;0;1
2161;61;1;91.77;0;0;0;0;0;0;0;0;0;0;0;0;1
2174;85;3;3646.29;0;0;0;0;0;0;0;0;0;0;0;0;1
2610;NA;1;1229.06;1;0;1;0;0;1;0;1;0;0;0;0;1
2646;50;1;8.35;1;0;0;NA;NA;NA;0;0;0;0;0;0;0
2647;51;3;6360.2;0;0;0;0;0;0;0;0;0;0;0;0;1
2652;87;1;7240.69;0;0;0;0;0;1;0;0;0;0;0;0;1
3052;117;1;597.77;0;0;0;0;0;0;0;0;0;0;0;0;1
3147;19;1;56.85;0;0;0;0;0;0;0;0;0;0;0;0;1
3553;122;1;7571.37;0;0;0;0;0;0;0;0;0;0;0;0;1
3666;15;1;276.72;0;0;0;0;0;0;0;0;0;0;0;0;1
3760;NA;1;3333.73;0;0;0;0;0;0;0;0;0;0;0;0;1
3781;72;3;15786.2;0;0;0;0;0;0;0;0;0;0;0;0;1
3876;46;1;0.11;0;0;0;0;0;0;0;0;0;0;0;0;1
4153;60;0;5958.43;0;0;0;0;0;0;0;0;0;0;0;0;1
4199;172;4;14205.21;0;0;0;0;1;0;0;0;0;0;0;0;1
4250;NA;4;4216.36;0;0;0;0;0;0;0;0;0;0;0;0;1
4447;24;1;6961.42;0;0;0;0;0;0;0;0;0;0;0;0;1
4459;106;1;870.93;0;0;0;0;0;0;0;0;0;0;0;0;1
4460;NA;3;21713.43;0;0;0;0;0;0;0;0;0;0;0;0;1
4519;137;4;80.52;0;0;0;0;0;1;0;0;0;0;0;0;1
4564;84;1;15071.9;0;0;2;1;0;0;0;0;0;0;0;0;1
4584;9;1;281.02;0;0;0;0;1;0;1;1;1;1;1;1;1
4738;43;1;167.9;0;0;0;0;0;0;0;0;0;0;0;0;1
4970;NA;0;1283.12;0;0;0;0;0;0;0;0;0;0;0;0;1
5153;255;5;1210;0;0;0;0;0;0;0;0;0;0;0;0;1
5302;69;1;7927.79;0;0;0;0;0;0;0;0;0;0;0;0;1
5439;44;3;5024.34;0;0;0;0;0;0;0;0;0;0;0;0;1
5575;52;4;909.88;0;0;0;0;1;0;0;0;0;0;0;0;1
5906;11;0;330.19;0;0;0;0;0;0;0;0;0;0;0;0;1
5993;34;0;479.58;0;0;0;0;0;0;0;0;0;0;0;0;1
6007;48;1;180.99;0;0;0;0;0;0;0;0;0;0;0;0;1
6061;110;1;3061.62;0;0;0;0;0;0;0;0;0;0;0;0;1
6079;102;1;1195.58;0;0;0;0;0;0;0;0;0;0;0;0;1
6139;95;1;11192.18;0;0;0;0;0;0;0;0;0;0;0;0;1
6159;107;1;50.23;0;0;0;0;0;0;0;0;0;0;0;0;1
6166;29;1;0.25;0;0;0;0;0;0;0;0;0;0;0;0;1
6226;95;3;392.96;0;0;0;0;0;0;0;0;0;0;0;0;1
6283;20;0;1233.84;0;0;0;0;0;0;0;0;0;0;0;0;1
6350;NA;3;10131.35;0;0;0;0;0;0;0;0;0;0;0;0;1
6407;168;3;1921.27;0;2;1;0;0;0;0;0;0;0;0;0;1
6422;97;1;168.77;0;0;0;0;0;0;0;0;0;0;0;0;1
6484;84;0;1677.55;0;0;0;1;0;1;2;2;2;2;2;2;1
6751;172;1;2934.36;0;0;0;0;0;0;0;0;0;0;0;0;1
7004;32;1;846.44;0;0;0;0;0;0;0;0;0;0;0;0;1
7290;NA;0;432.34;0;0;0;0;0;0;1;1;1;1;1;3;1
7382;17;0;1586.51;0;0;0;0;0;0;8;8;8;7;6;5;1
7422;16;0;225.3;0;0;0;0;0;0;0;0;0;0;0;0;1
7577;120;3;9719.83;0;0;0;0;0;0;0;0;0;0;0;0;1
7609;11;0;591.01;0;0;0;0;0;0;0;0;0;0;0;0;1
7688;106;1;2677.08;0;0;0;0;0;0;0;0;0;0;1;0;1
7744;97;1;9894.27;0;0;0;0;0;0;1;1;1;1;1;1;1
7832;59;1;27770.34;0;0;0;0;0;0;0;0;0;0;0;0;1
7946;70;1;233.03;1;0;0;0;0;0;0;0;0;0;0;0;1
7988;118;1;2494;0;0;0;0;1;1;0;0;0;0;6;5;1
8027;11;0;288.66;0;0;0;0;0;0;0;0;0;0;0;0;1
8146;219;3;1.53;0;0;0;0;0;0;0;0;0;0;0;0;1
8183;127;0;930.51;2;1;2;1;1;0;2;3;1;0;0;0;0
8234;12;0;19.8;0;0;0;0;0;0;0;0;0;0;0;0;1
8249;45;3;694.06;0;0;0;1;1;0;0;0;0;0;0;0;1
8493;50;1;3172.73;0;0;0;0;0;0;0;0;0;0;0;0;1
8618;32;1;367.69;0;0;0;0;0;0;0;0;0;0;0;0;1
8647;111;4;6019.4;0;0;0;0;0;0;0;0;0;0;0;0;1
8810;NA;1;1378.92;0;0;0;0;0;0;1;0;0;0;0;1;1
9052;7;0;743.21;1;1;0;0;0;0;2;2;2;2;2;0;1
9198;90;1;5733.35;0;0;0;0;0;0;0;0;0;0;0;0;1
9305;61;3;261.64;0;0;0;0;0;0;0;0;0;0;0;0;1
9455;95;0;3179.23;0;0;0;0;0;0;0;0;0;0;0;0;1
9497;156;1;57.87;0;0;0;0;0;0;0;0;0;0;0;0;1
9546;6;0;310.21;0;0;0;0;0;0;0;0;0;0;0;0;1
9591;118;4;18795.63;0;0;0;0;1;0;0;0;0;2;1;1;1
9630;NA;1;966.02;0;0;1;0;0;0;2;2;2;2;1;0;0
9686;114;1;11245.63;0;0;0;1;0;0;0;0;0;0;0;0;1
9696;216;5;2086.59;0;0;0;0;0;0;0;0;0;0;0;0;1
9763;190;0;5263.07;0;0;0;0;0;0;0;0;0;0;0;0;1
9979;73;NA;145.86;1;0;0;0;0;0;0;0;0;0;0;0;0
10080;NA;1;17095.92;0;0;0;0;0;0;0;0;0;0;0;0;1
10081;190;1;232.16;0;0;0;0;0;0;0;0;0;0;0;0;1
10141;10;1;1144.69;0;0;0;0;0;0;0;0;0;0;0;0;1
10186;6;0;652.05;0;0;0;0;0;0;0;0;1;0;0;1;1
10249;201;3;22782.45;0;0;0;0;1;1;0;0;0;0;0;0;1
185;44;1;604.86;0;0;0;0;0;0;0;0;0;0;0;0;1
238;79;1;1006.21;0;0;0;0;0;0;0;0;0;0;0;0;1
346;102;1;299.23;0;0;0;0;0;0;0;0;0;0;0;0;1
460;NA;1;645.19;0;0;0;0;0;0;0;0;0;0;0;0;1
549;109;NA;218;0;0;0;0;0;0;0;0;0;0;0;0;1
559;183;NA;10.32;0;0;0;0;0;0;0;0;0;0;0;0;1
666;172;0;3517.07;0;0;0;0;0;0;0;0;0;0;0;0;1
676;76;1;216.52;0;0;1;0;0;0;0;0;0;1;1;1;1
696;136;0;1908.69;0;0;0;0;0;0;0;0;0;0;0;0;1
907;171;0;1895.19;0;0;0;0;0;0;0;0;0;0;0;0;1
974;93;1;1310.43;0;0;0;0;0;0;0;0;0;0;0;0;1
986;11;0;2638.83;0;0;0;0;0;0;0;0;0;0;0;0;1
1079;52;4;7879.69;0;0;0;0;0;0;1;1;0;0;0;0;1
1083;119;1;5085.55;0;0;0;0;0;0;0;0;0;0;0;0;1
1186;9;NA;4871.7;0;0;0;0;0;1;0;0;0;0;0;0;1
1196;17;1;193.4;0;0;0;0;0;0;0;0;0;0;0;0;1
1454;122;1;83.34;0;0;0;0;0;0;0;0;0;0;0;0;1
1507;40;1;996.52;0;0;0;0;0;1;1;2;2;1;1;2;1
1532;133;1;5121.6;0;0;0;0;0;0;0;0;0;0;0;0;1
1552;59;NA;39.77;0;0;0;0;0;0;0;0;0;0;0;0;1
1594;134;1;47.54;0;0;0;0;0;0;0;1;1;0;0;1;1
1652;168;5;335.69;0;0;0;0;0;0;0;0;0;0;0;0;1
1677;178;1;3054.95;0;0;0;0;0;0;0;0;0;0;0;0;1
1717;220;3;12495.04;0;0;0;0;0;0;0;0;0;0;0;0;1
2022;16;1;5600.89;0;0;0;1;0;0;0;0;0;1;0;1;1
2070;NA;1;1174.48;0;0;0;0;0;0;0;0;0;0;0;0;1
2161;61;1;91.77;0;0;0;0;0;0;0;0;0;0;0;0;1
2174;85;3;3646.29;0;0;0;0;0;0;0;0;0;0;0;0;1
2610;NA;1;1229.06;1;0;1;0;0;1;0;1;0;0;0;0;1
2646;50;1;8.35;1;0;0;NA;NA;NA;0;0;0;0;0;0;0
2647;51;3;6360.2;0;0;0;0;0;0;0;0;0;0;0;0;1
2652;87;1;7240.69;0;0;0;0;0;1;0;0;0;0;0;0;1
3052;117;1;597.77;0;0;0;0;0;0;0;0;0;0;0;0;1
3147;19;1;56.85;0;0;0;0;0;0;0;0;0;0;0;0;1
3553;122;1;7571.37;0;0;0;0;0;0;0;0;0;0;0;0;1
3666;15;1;276.72;0;0;0;0;0;0;0;0;0;0;0;0;1
3760;NA;1;3333.73;0;0;0;0;0;0;0;0;0;0;0;0;1
3781;72;3;15786.2;0;0;0;0;0;0;0;0;0;0;0;0;1
3876;46;1;0.11;0;0;0;0;0;0;0;0;0;0;0;0;1
4153;60;0;5958.43;0;0;0;0;0;0;0;0;0;0;0;0;1
4199;172;4;14205.21;0;0;0;0;1;0;0;0;0;0;0;0;1
4250;NA;4;4216.36;0;0;0;0;0;0;0;0;0;0;0;0;1
4447;24;1;6961.42;0;0;0;0;0;0;0;0;0;0;0;0;1
4459;106;1;870.93;0;0;0;0;0;0;0;0;0;0;0;0;1
4460;NA;3;21713.43;0;0;0;0;0;0;0;0;0;0;0;0;1
4519;137;4;80.52;0;0;0;0;0;1;0;0;0;0;0;0;1
4564;84;1;15071.9;0;0;2;1;0;0;0;0;0;0;0;0;1
4584;9;1;281.02;0;0;0;0;1;0;1;1;1;1;1;1;1
4738;43;1;167.9;0;0;0;0;0;0;0;0;0;0;0;0;1
4970;NA;0;1283.12;0;0;0;0;0;0;0;0;0;0;0;0;1
5153;255;5;1210;0;0;0;0;0;0;0;0;0;0;0;0;1
5302;69;1;7927.79;0;0;0;0;0;0;0;0;0;0;0;0;1
5439;44;3;5024.34;0;0;0;0;0;0;0;0;0;0;0;0;1
5575;52;4;909.88;0;0;0;0;1;0;0;0;0;0;0;0;1
5906;11;0;330.19;0;0;0;0;0;0;0;0;0;0;0;0;1
5993;34;0;479.58;0;0;0;0;0;0;0;0;0;0;0;0;1
6007;48;1;180.99;0;0;0;0;0;0;0;0;0;0;0;0;1
6061;110;1;3061.62;0;0;0;0;0;0;0;0;0;0;0;0;1
6079;102;1;1195.58;0;0;0;0;0;0;0;0;0;0;0;0;1
6139;95;1;11192.18;0;0;0;0;0;0;0;0;0;0;0;0;1
6159;107;1;50.23;0;0;0;0;0;0;0;0;0;0;0;0;1
6166;29;1;0.25;0;0;0;0;0;0;0;0;0;0;0;0;1
6226;95;3;392.96;0;0;0;0;0;0;0;0;0;0;0;0;1
6283;20;0;1233.84;0;0;0;0;0;0;0;0;0;0;0;0;1
6350;NA;3;10131.35;0;0;0;0;0;0;0;0;0;0;0;0;1
6407;168;3;1921.27;0;2;1;0;0;0;0;0;0;0;0;0;1
6422;97;1;168.77;0;0;0;0;0;0;0;0;0;0;0;0;1
6484;84;0;1677.55;0;0;0;1;0;1;2;2;2;2;2;2;1
6751;172;1;2934.36;0;0;0;0;0;0;0;0;0;0;0;0;1
7004;32;1;846.44;0;0;0;0;0;0;0;0;0;0;0;0;1
7290;NA;0;432.34;0;0;0;0;0;0;1;1;1;1;1;3;1
7382;17;0;1586.51;0;0;0;0;0;0;8;8;8;7;6;5;1
7422;16;0;225.3;0;0;0;0;0;0;0;0;0;0;0;0;1
7577;120;3;9719.83;0;0;0;0;0;0;0;0;0;0;0;0;1
7609;11;0;591.01;0;0;0;0;0;0;0;0;0;0;0;0;1
7688;106;1;2677.08;0;0;0;0;0;0;0;0;0;0;1;0;1
7744;97;1;9894.27;0;0;0;0;0;0;1;1;1;1;1;1;1
7832;59;1;27770.34;0;0;0;0;0;0;0;0;0;0;0;0;1
7946;70;1;233.03;1;0;0;0;0;0;0;0;0;0;0;0;1
7988;118;1;2494;0;0;0;0;1;1;0;0;0;0;6;5;1
8027;11;0;288.66;0;0;0;0;0;0;0;0;0;0;0;0;1
8146;219;3;1.53;0;0;0;0;0;0;0;0;0;0;0;0;1
8183;127;0;930.51;2;1;2;1;1;0;2;3;1;0;0;0;0
8234;12;0;19.8;0;0;0;0;0;0;0;0;0;0;0;0;1
8249;45;3;694.06;0;0;0;1;1;0;0;0;0;0;0;0;1
8493;50;1;3172.73;0;0;0;0;0;0;0;0;0;0;0;0;1
8618;32;1;367.69;0;0;0;0;0;0;0;0;0;0;0;0;1
8647;111;4;6019.4;0;0;0;0;0;0;0;0;0;0;0;0;1
8810;NA;1;1378.92;0;0;0;0;0;0;1;0;0;0;0;1;1
9052;7;0;743.21;1;1;0;0;0;0;2;2;2;2;2;0;1
9198;90;1;5733.35;0;0;0;0;0;0;0;0;0;0;0;0;1
9305;61;3;261.64;0;0;0;0;0;0;0;0;0;0;0;0;1
9455;95;0;3179.23;0;0;0;0;0;0;0;0;0;0;0;0;1
9497;156;1;57.87;0;0;0;0;0;0;0;0;0;0;0;0;1
9546;6;0;310.21;0;0;0;0;0;0;0;0;0;0;0;0;1
9591;118;4;18795.63;0;0;0;0;1;0;0;0;0;2;1;1;1
9630;NA;1;966.02;0;0;1;0;0;0;2;2;2;2;1;0;0
9686;114;1;11245.63;0;0;0;1;0;0;0;0;0;0;0;0;1
9696;216;5;2086.59;0;0;0;0;0;0;0;0;0;0;0;0;1
9763;190;0;5263.07;0;0;0;0;0;0;0;0;0;0;0;0;1
9979;73;NA;145.86;1;0;0;0;0;0;0;0;0;0;0;0;0
10080;NA;1;17095.92;0;0;0;0;0;0;0;0;0;0;0;0;1
10081;190;1;232.16;0;0;0;0;0;0;0;0;0;0;0;0;1
10141;10;1;1144.69;0;0;0;0;0;0;0;0;0;0;0;0;1
10186;6;0;652.05;0;0;0;0;0;0;0;0;1;0;0;1;1
10249;201;3;22782.45;0;0;0;0;1;1;0;0;0;0;0;0;1
10319;43;0;877.58;0;1;0;0;1;1;0;0;1;0;0;0;1
10323;48;NA;3543.02;0;0;0;0;0;0;0;0;0;0;0;0;1
10334;51;4;1508.69;0;0;0;0;0;0;0;0;0;0;0;0;1
