Edad;Genero;Vivienda;Ecivil;Ubicacion;Salario;Hijos;Historial;Catalogos;Monto
Adulta;Femenino;Propia;Soltero;Lejos;47500;0;Alto;6;755
Media;Masculino;Alquilada;Soltero;Cerca;63600;0;Alto;6;1318
Joven;Femenino;Alquilada;Soltero;Cerca;13500;0;Bajo;18;296
Media;Masculino;Propia;Casado;Cerca;85600;1;Alto;18;2436
Media;Femenino;Propia;Soltero;Cerca;68400;0;Alto;12;1304
NA;Masculino;Propia;Casado;Cerca;30400;0;Bajo;6;495
Media;Femenino;Alquilada;Soltero;Cerca;48100;0;Medio;12;782
Media;Masculino;NA;Soltero;Cerca;68400;0;Alto;18;1155
Media;Femenino;Propia;Casado;Cerca;51900;3;Bajo;6;158
NA;Masculino;Propia;Casado;Lejos;80700;0;NA;18;3034
Joven;Masculino;Alquilada;Casado;Cerca;43700;1;NA;12;927
Media;Masculino;Propia;Casado;Lejos;111800;3;Alto;18;2065
Media;Femenino;Propia;Casado;Cerca;44100;1;Medio;24;704
NA;Masculino;Propia;Casado;Cerca;111400;0;Alto;12;2136
Adulta;Femenino;NA;Casado;Lejos;110000;0;Alto;24;5564
Media;Femenino;Propia;Casado;Lejos;83100;1;NA;12;2766
Adulta;Femenino;Propia;Casado;Cerca;82800;0;Alto;24;3010
Media;Masculino;Propia;Casado;Cerca;90100;0;Alto;18;1956
Media;Masculino;Alquilada;Soltero;Cerca;38600;1;Bajo;18;542
Adulta;Femenino;Alquilada;Soltero;Lejos;14000;0;Bajo;12;410
Joven;Femenino;Alquilada;Soltero;Lejos;14300;2;Bajo;6;194
Joven;Masculino;Alquilada;Casado;Cerca;49800;0;Medio;12;827
Adulta;Femenino;Alquilada;Casado;Lejos;60200;0;Alto;18;2328
Joven;Masculino;Alquilada;Casado;Lejos;43500;1;Medio;12;808
Joven;Femenino;Alquilada;Casado;Cerca;41700;1;NA;6;521
Media;Femenino;Propia;Casado;Cerca;92300;3;Bajo;18;655
Media;Masculino;Propia;Soltero;Cerca;62800;3;NA;6;707
Media;Femenino;Alquilada;Casado;Lejos;72900;0;Alto;18;2075
Media;Femenino;Alquilada;Casado;Cerca;66900;2;Medio;12;769
Joven;Masculino;Alquilada;Soltero;Cerca;21700;1;NA;18;774
Adulta;Femenino;Alquilada;Casado;Cerca;39700;0;Medio;12;573
Media;Masculino;Alquilada;Casado;Lejos;72200;1;Alto;12;2082
