"","ID","Edad","Experiencia","Ingreso","Postal","Familia","credito","educacion","cuenta.de.ahorros","servicios.online","Mora"
"1",1550,57,31,45,94305,3,1.4,1,0,1,0
"2",4703,35,5,108,90630,2,2.75,3,0,0,0
"3",2478,40,14,179,90025,1,2.6,3,1,1,0
"4",3109,42,15,21,95678,3,1,2,0,1,0
"5",2733,33,9,38,93106,1,2.1,3,0,0,0
"9",1432,58,34,128,90058,1,7.4,1,0,0,0
"11",1030,41,17,20,94720,1,1.4,3,0,1,0
"12",417,40,15,85,94304,2,0.4,1,0,1,0
"14",2093,53,23,19,92673,4,0.4,3,0,1,0
"19",1600,50,24,124,93305,1,4.9,1,0,1,0
"20",2090,53,29,95,94304,1,2.7,2,0,1,0
"21",3945,56,26,62,91320,3,1.4,3,0,1,0
"22",3851,48,23,15,94061,4,0.8,1,0,1,0
"23",2892,59,33,63,90044,1,1.6,1,0,1,1
"24",1586,57,31,131,90502,2,2.7,1,0,0,0
"25",1576,50,26,88,90037,1,2.7,1,1,1,0
"27",462,55,30,81,92123,2,3.7,1,0,0,0
"28",1459,51,25,33,93033,1,1.4,3,1,1,1
"29",3663,35,9,164,94305,2,0,1,0,0,0
"30",10,34,9,180,93023,1,8.9,3,0,0,0
"32",221,32,6,25,92130,2,0.3,1,0,0,1
"33",2624,42,17,111,94304,3,3,1,0,0,1
"34",2537,51,25,104,94949,1,4.2,2,0,1,0
"35",3290,50,25,44,94303,1,0.3,1,0,1,1
"36",1096,50,25,43,92129,1,1.4,3,0,1,0
"39",3742,53,29,51,92152,2,3.2,3,0,1,0
"40",1485,55,30,40,94126,2,2.3,3,1,1,0
"41",1726,57,32,19,95348,1,1.3,1,0,1,0
"42",1597,45,20,55,92606,4,1.9,3,0,0,0
"43",3735,43,19,72,95193,4,0.2,3,0,1,0
"44",909,66,36,55,93023,4,1.67,3,0,0,1
"45",1011,27,3,98,95616,2,2.5,1,0,1,1
"46",1813,43,19,128,95054,1,4.7,1,0,1,0
"47",2156,62,38,154,94305,1,2.9,1,0,1,0
"48",3914,45,20,62,92064,3,0.8,3,0,1,0
"49",1108,47,21,79,94110,3,1.1,1,0,1,1
"50",2701,31,5,39,94590,4,2.2,2,0,1,1
"51",1551,40,14,39,93117,1,2,1,0,1,0
"53",4221,54,30,39,94806,4,0.1,3,0,1,0
"54",1331,34,9,64,92346,2,0.1,1,0,1,1
"55",3897,48,24,224,93940,2,6.67,1,0,1,1
"56",1907,42,17,98,92866,2,0.4,1,0,1,0
"57",4729,59,35,31,90630,3,0.4,2,0,1,0
"58",3780,53,27,64,93407,4,2.6,1,0,1,1
"59",3911,33,8,62,94596,1,1,1,0,1,0
"60",3689,51,26,179,90245,1,8.1,1,0,1,0
"61",2068,58,32,180,91770,1,2.9,1,0,0,1
"63",528,33,8,65,90027,2,0.1,1,0,1,0
"64",881,57,31,58,91604,1,0.2,1,0,1,0
"65",474,64,39,182,93955,1,1.2,2,0,1,0
"66",3156,55,29,62,92626,3,0.3,2,0,1,0
"67",4394,24,0,59,95521,4,1.6,1,0,0,0
"68",2584,37,11,71,91302,1,2.5,1,0,1,1
"69",979,52,26,68,92068,1,0.8,3,0,1,1
"71",1475,48,23,79,92124,2,3.8,3,0,1,0
"72",4806,30,6,160,90630,1,4.3,1,0,1,0
"73",1352,59,35,84,94588,1,1.8,3,0,1,1
"74",1134,31,4,28,94126,1,2,2,0,0,0
"76",1874,28,4,69,94538,3,0.7,2,0,1,0
"77",640,62,36,32,92646,2,0.2,3,0,1,1
"78",727,58,33,53,91030,4,2.1,1,0,1,0
"80",4955,45,19,22,94904,3,1.5,1,0,1,1
"81",4181,36,6,11,92008,1,0.67,3,1,1,1
"82",1905,38,14,91,95060,2,0,1,0,1,0
"83",3840,31,5,42,93010,2,2,3,0,1,0
"84",1376,50,26,179,92612,1,2.9,3,0,0,1
"87",1864,48,22,43,94588,1,1.2,2,0,1,0
"89",2299,48,24,9,92630,4,0.5,2,0,0,1
"90",1124,46,20,91,92521,4,2.6,3,0,0,0
"91",1975,39,13,63,90095,4,0.2,3,0,0,0
"92",3746,27,3,119,90640,1,5.4,1,0,1,0
