Nro_Veces_cob;Nro_Cuotas;Mes_pres;MES_0_Atraso;MES_1_Atraso;MES_2_Atraso;Llamada_fecha;Hora;Llamada_Resultado;Deuda_total;Activación;Mora
>10;<24, 48];Febrero;244.86;0;245.26;3/02/2014;15;PDP  Promesa De Pago;3816.34;2012;0
<=10;>48;Febrero;610.58;612.69;611.54;18/02/2014;9;PDP  Promesa De Pago;13620.5;2012;0
<=10;<24, 48];Febrero;2138.73;0;0;5/02/2014;16;TELF. NO CORRESPONDE;18968.5;2013;1
>10;<24, 48];Febrero;323.07;46.85;74.26;24/02/2014;19;MCT  Msj Con Terceros;2459.84;2012;1
<=10;<24, 48];Febrero;920.54;0;0;12/02/2014;14;TELF. NO CORRESPONDE;6591.76;2013;1
<=10;<24, 48];Febrero;364.27;371.11;0;6/02/2014;7;MCF  Msj Con Familiar;9836.38;2013;0
<=10;>48;Febrero;692.77;287.31;718.96;5/02/2014;16;TAT sin contacto con Titular;26889.9;2013;0
>10;>48;Febrero;364.24;728.67;366.12;12/02/2014;9;MCF  Msj Con Familiar;5491.04;2011;0
<=10;>48;Febrero;492.95;0;492.97;10/02/2014;11;RPP  Recordar Promesa;14985.3;2013;0
>10;>48;Febrero;653.41;648.31;670.51;4/02/2014;12;MCT  Msj Con Terceros;18148.1;2010;0
>10;<24, 48];Febrero;548.02;555.44;521.46;6/02/2014;10;PDP  Promesa De Pago;15415.1;2012;0
<=10;<24, 48];Febrero;839.04;1401.76;0;12/02/2014;20;MCF  Msj Con Familiar;9155.2;2012;0
<=10;<24, 48];Febrero;70.64;0;0;4/02/2014;14;MCC  Msj Con Comp De Trab;4876.47;2013;0
<=10;<24, 48];Febrero;113.25;211.33;212.62;26/02/2014;9;MCT  Msj Con Terceros;3146.65;2012;0
<=10;<24, 48];Febrero;693.22;693.66;0;17/02/2014;11;PDP  Promesa De Pago;18535;2012;0
<=10;<=24;Febrero;1056.91;0;0;7/02/2014;10;TELF. NO CORRESPONDE;1058.03;2013;1
<=10;<=24;Febrero;466.27;467.04;0;6/02/2014;12;TELF. NO CORRESPONDE;3791.15;2012;0
>10;>48;Febrero;1259.75;1897.53;0;28/02/2014;9;MCF  Msj Con Familiar;14389.9;2012;1
>10;<24, 48];Febrero;240.04;240.79;240.57;18/02/2014;7;PDP  Promesa De Pago;3632.16;2012;0
<=10;<24, 48];Febrero;207.24;206.08;0;19/02/2014;10;TELF. NO CORRESPONDE;3242.09;2012;0
<=10;<24, 48];Febrero;409.98;405.26;422.27;10/02/2014;18;MCO  Msj Con Conyuge;9710.75;2013;0
<=10;>48;Febrero;786.41;0;0;5/02/2014;12;MCT  Msj Con Terceros;9094.24;2011;0
>10;<24, 48];Febrero;363.14;363.14;363.01;4/02/2014;7;MCT  Msj Con Terceros;4178.66;2012;0
>10;<24, 48];Febrero;381.31;302.27;722.14;3/02/2014;16;MCT  Msj Con Terceros;15190.9;2012;0
<=10;<=24;Febrero;42.21;0;0;4/02/2014;7;TELF. NO CORRESPONDE;25554.3;2013;0
>10;<24, 48];Febrero;1650.64;0;0;25/02/2014;19;MCT  Msj Con Terceros;9615.35;2010;1
>10;>48;Febrero;386.09;0;0;3/02/2014;10;PDP  Promesa De Pago;8609.38;2012;0
<=10;<24, 48];Febrero;127.69;442.95;448.54;24/02/2014;7;MCF  Msj Con Familiar;4628.75;2012;0
<=10;<24, 48];Febrero;529.65;1.69;526.97;17/02/2014;19;MCT  Msj Con Terceros;9901.73;2013;0
>10;>48;Febrero;372.38;374.46;374.63;12/02/2014;10;MCT  Msj Con Terceros;5927.97;2011;0
<=10;<24, 48];Febrero;441.63;1.17;0;6/02/2014;8;TELF. NO CORRESPONDE;11045.9;2012;0
<=10;>48;Febrero;607.85;0;189.48;4/02/2014;12;TELF. NO CORRESPONDE;18166.6;2013;0
<=10;<24, 48];Febrero;49.31;68.7;50.38;11/02/2014;16;TELF. NO CORRESPONDE;24985.5;2013;0
<=10;<24, 48];Febrero;2331.3;0;0;21/02/2014;16;MCT  Msj Con Terceros;20544.2;2012;1
>10;>48;Febrero;1653.31;0;324.09;5/02/2014;18;TAT sin contacto con Titular;55564.3;2012;0
>10;<24, 48];Febrero;1420.84;1418.66;1419.8;4/02/2014;12;MCT  Msj Con Terceros;25832.1;2011;0
<=10;<24, 48];Febrero;1024.32;0;0;6/02/2014;13;PDP  Promesa De Pago;21595;2012;0
>10;>48;Febrero;759.69;762.5;682.64;20/02/2014;14;TELF. NO CORRESPONDE;10334.2;2011;0
>10;<24, 48];Febrero;1671.58;0;0;7/02/2014;12;MCT  Msj Con Terceros;20898.2;2012;1
<=10;<24, 48];Febrero;191.69;699.62;0;11/02/2014;13;MCT  Msj Con Terceros;12211.5;2012;0
<=10;>48;Febrero;1451.22;0;423.1;6/02/2014;12;MCT  Msj Con Terceros;19821;2013;1
>10;<24, 48];Febrero;1167.02;0;0;3/02/2014;10;MCT  Msj Con Terceros;4593.46;2012;1
>10;<24, 48];Febrero;403.76;0;0;5/02/2014;16;MCC  Msj Con Comp De Trab;6409.44;2011;0
<=10;>48;Febrero;608.59;1209.62;614.19;20/02/2014;16;MCF  Msj Con Familiar;13666.8;2012;0
>10;>48;Febrero;47.23;1397.87;0;18/02/2014;19;TELF. NO CORRESPONDE;40331.9;2012;0
<=10;<24, 48];Febrero;21.66;0;795.75;19/02/2014;10;MCT  Msj Con Terceros;15737;2013;0
>10;<24, 48];Febrero;663.18;664.63;658.93;13/02/2014;9;PDP  Promesa De Pago;13791.5;2012;0
<=10;>48;Febrero;358.04;0;0;20/02/2014;9;MCT  Msj Con Terceros;5777.9;2010;0
>10;<24, 48];Febrero;151.27;0;153.89;3/02/2014;15;MCT  Msj Con Terceros;1884.98;2012;0
<=10;<=24;Febrero;621.97;632.01;637.7;14/02/2014;17;PAR  Promesa Parcial;621.3;2013;1
>10;>48;Febrero;408.37;1170.67;1165.31;13/02/2014;9;MCF  Msj Con Familiar;14789.7;2011;0
<=10;<=24;Febrero;47.29;0;0;19/02/2014;9;PDP  Promesa De Pago;1731.19;2012;0
>10;>48;Febrero;332.77;0;333.15;11/02/2014;13;MCT  Msj Con Terceros;2994.43;2010;0
<=10;>48;Febrero;733.41;735.75;0;4/02/2014;16;MCT  Msj Con Terceros;16281.8;2012;0
>10;>48;Febrero;1941.43;1.72;0;3/02/2014;10;PDP  Promesa De Pago;66469.5;2012;0
<=10;<24, 48];Febrero;131.7;263.74;264.18;24/02/2014;14;MCT  Msj Con Terceros;3090.25;2013;0
<=10;>48;Febrero;2028.47;3047.2;0;11/02/2014;9;MCO  Msj Con Conyuge;26481.1;2013;0
<=10;<24, 48];Febrero;2305.97;0;0;28/02/2014;8;MCT  Msj Con Terceros;20515;2013;1
