Id_cliente;Edad;Genero;Venta_total;N_Compras;FechaCompra;MontoCompra;MetodoPago;Tiempo;Navegador;Boletin;Vale
504308;18;1;737.4;8;02.02.21;109.054;2;1022;0;1;0
504309;46;1;689.2;17;10.10.21;35.326;1;865;0;0;0
504310;38;0;95.6;1;27.08.21;89.353;2;900;2;1;1
504311;44;1;75.7;2;10.06.21;27.22;1;793;0;1;0
504312;41;0;46;2;08.06.21;28.531;0;729;0;0;0
504313;24;1;20.9;1;10.11.21;16.611;1;878;2;0;1
504314;18;1;269;6;01.02.21;44.661;1;807;1;1;0
504315;27;0;376.5;10;12.09.21;54.977;2;689;3;1;1
504316;43;0;122.3;4;15.03.21;42.839;1;525;0;0;1
504317;44;0;239.4;5;04.02.21;43.883;1;932;1;1;0
504318;20;1;220.5;6;12.07.21;49.296;0;859;0;1;0
504319;24;0;224.7;11;23.12.21;20.614;1;651;1;1;1
504320;27;0;89.5;3;26.09.21;36.122;0;992;0;0;0
504321;32;1;222.8;4;05.10.21;73.833;1;824;0;0;0
504322;20;0;98.4;4;19.09.21;34.432;0;757;4;0;1
504323;19;1;48.8;4;14.10.21;18.26;0;919;1;1;0
504324;26;1;1481.3;25;07.07.21;58.086;0;880;1;0;0
504325;37;0;271.9;7;16.02.21;37.418;1;833;0;1;0
504326;22;0;200.8;7;03.11.21;38.581;1;726;1;0;1
504327;35;1;222.7;9;14.06.21;34.512;0;1137;0;0;1
504328;49;1;110.8;3;02.07.21;54.547;1;648;0;0;0
504329;20;0;65.3;3;16.05.21;25.959;1;914;0;1;0
504330;34;1;1107.9;15;08.03.21;67.091;0;765;0;0;0
504331;48;0;39.1;1;05.12.21;37.145;1;862;0;1;0
504332;31;0;904.5;16;13.10.21;54.114;1;962;2;1;0
504333;29;1;312.7;5;24.08.21;61.269;1;724;0;1;1
504334;50;0;75.7;5;27.05.21;20.763;1;848;2;1;0
504335;32;0;286.1;4;28.10.21;42.092;1;768;3;1;0
504336;49;1;414.2;10;19.07.21;36.4;2;665;0;1;1
504337;41;0;172.4;4;11.06.21;47.971;1;986;1;0;0
504338;32;0;151;7;14.06.21;34.061;1;908;0;1;0
504339;42;0;77.4;7;24.03.21;14.551;1;642;3;1;0
504340;40;1;160;2;03.02.21;49.953;1;979;0;0;0
504341;48;1;87.2;6;22.07.21;13.203;1;630;0;0;0
504342;29;1;39.6;1;21.11.21;37.302;1;775;0;1;0
504343;36;0;490.2;7;24.01.21;79.649;1;643;3;1;0
504344;35;1;183.7;2;10.11.21;65.749;1;915;0;0;0
504345;44;1;378.4;8;30.10.21;47.609;1;654;2;1;1
504346;24;0;28.4;1;12.04.21;26.98;1;917;0;0;0
504347;48;0;122.5;5;19.08.21;41.666;1;867;1;0;1
504348;42;1;276.8;5;02.03.21;66.648;1;712;0;1;1
504349;20;0;293.1;11;04.10.21;23.311;1;1109;0;0;0
504350;50;1;306;6;13.09.21;50.156;2;646;0;0;1
504351;63;1;56.4;3;10.05.21;24.582;2;526;0;1;0
504352;48;0;91.7;3;25.01.21;31.125;2;894;2;0;0
504353;53;1;135;4;21.12.21;29.736;0;373;1;0;0
504354;37;1;749.8;12;12.06.21;49.77;1;1049;0;1;1
504355;18;0;268.5;7;22.11.21;42.559;1;798;0;0;0
504356;18;1;677.6;5;05.09.21;87.631;0;523;0;1;0
504357;39;0;274.6;7;12.10.21;37.461;2;589;1;1;1
504358;29;1;71.2;2;05.10.21;45.382;1;446;2;1;1
504359;25;0;69.3;1;13.03.21;65.835;1;789;3;0;1
504360;35;0;42.2;2;13.05.21;40.018;2;481;3;0;1
504361;43;0;197;7;20.06.21;36.567;1;870;0;0;0
504362;19;0;126;2;01.07.21;43.738;2;725;0;0;0
504363;31;0;132.9;6;16.01.21;25.04;1;634;3;1;0
504364;54;0;51.9;2;19.07.21;39.461;0;872;0;1;0
504365;23;1;102.2;5;26.02.21;28.828;0;892;0;1;1
504366;46;0;131.2;4;29.09.21;35.215;2;986;0;1;1
504367;30;0;163.6;2;07.09.21;90.122;1;626;2;0;0
504368;43;0;39.1;1;03.12.21;37.145;1;755;1;1;1
504369;49;1;152.2;4;29.09.21;47.455;1;596;4;0;1
504370;45;0;37.4;4;14.05.21;10.958;1;809;0;1;0
504371;47;1;171;4;20.12.21;43.956;1;640;0;1;0
504372;22;1;253;4;30.05.21;94.355;1;704;0;1;1
504373;49;0;174.3;7;29.04.21;24.116;1;665;2;1;0
504374;26;1;87.9;2;27.11.21;57.005;1;833;0;0;0
504375;39;0;48.5;2;16.05.21;25.685;2;721;3;0;0
504376;39;1;56;3;28.01.21;19.711;2;871;0;0;1
504377;42;0;106.7;4;21.06.21;32.957;1;721;2;1;1
504378;40;1;26.2;1;18.10.21;24.89;1;636;2;0;0
504379;26;1;173.1;4;11.03.21;36.864;0;814;0;1;0
504380;20;0;73.2;3;18.06.21;29.596;2;595;1;0;0
504381;46;0;138.3;4;17.02.21;23.001;2;882;0;1;0
504382;38;0;156.9;5;08.09.21;43.592;1;689;2;1;0
504383;50;0;241.3;3;23.06.21;59.907;2;777;2;0;0
504384;35;1;55.5;1;01.05.21;52.725;1;800;1;1;1
504385;19;1;239.9;6;24.03.21;36.024;1;1068;0;1;0
504386;48;1;354.2;8;26.07.21;34.815;1;779;4;1;0
504387;32;1;87.7;2;02.09.21;44.184;2;733;3;0;0
504388;40;1;144.8;5;10.12.21;27.867;2;635;1;1;0
504389;28;1;206.5;4;09.06.21;51.11;1;854;4;0;0
504390;56;0;149.2;6;28.02.21;20.253;0;731;0;0;0
504391;25;0;20.5;1;31.10.21;15.963;0;505;0;0;0
504392;32;0;457.9;10;18.08.21;46.13;1;745;0;1;0
504393;37;0;61.8;3;13.09.21;25.068;2;814;0;0;1
504394;23;0;305.1;16;05.02.21;24.912;1;633;0;1;0
504395;40;0;93.4;4;25.04.21;22.379;0;739;1;0;0
504396;55;0;332.2;8;08.10.21;47.15;1;767;0;0;0
504397;30;0;29.3;1;31.10.21;27.586;2;770;0;1;1
504398;41;0;336.9;5;08.06.21;77.678;2;982;1;0;1
504399;18;0;278;6;21.10.21;46.04;2;504;2;0;0
504400;36;0;191.2;4;04.11.21;39.422;1;1076;4;0;0
504401;32;0;74.4;1;22.05.21;70.68;2;774;0;0;0
504402;26;1;155.5;9;24.11.21;22.527;2;844;2;0;0
504403;49;1;1130.4;22;16.04.21;43.711;2;803;0;1;1
