"","Edad","Genero","Ingreso","Tiempo_meses","Otros_ingreso","Casado","Hijos","Carro","Cta_Ahorros","Cta_Corriente","Prestamo"
"1","34-56","F","Menor a 25000",30,404.5,"NO",1,"NO","NO","NO","NO"
"2","34-56","M","25000-45000",33,342.45,"SI",3,"SI","NO","SI","SI"
"3","Mayor de 56","F","Menor a 25000",23,372.79,"SI",0,"SI","SI","SI","NO"
"4","Menor 34","F","Menor a 25000",33,418.81,"SI",3,"NO","NO","SI","NO"
"5","Mayor de 56","F","Mayor a 45000",31,386.83,"SI",0,"NO","SI","NO","NO"
"6","Mayor de 56","F","25000-45000",32,381.38,"SI",2,"NO","SI","SI","NO"
"7","Menor 34","M","Menor a 25000",30,403.32,"NO",0,"NO","NO","SI","NO"
"8","Mayor de 56","M","25000-45000",39,409.22,"SI",0,"SI","SI","SI","NO"
"9","34-56","F","25000-45000",27,334.16,"SI",2,"SI","NO","NO","NO"
"10","Mayor de 56","M","Menor a 25000",32,380.65,"SI",2,"SI","SI","SI","NO"
"11","Mayor de 56","F","Mayor a 45000",30,345.02,"SI",0,"NO","SI","SI","NO"
"12","Mayor de 56","F","25000-45000",31,373.26,"NO",0,"SI","SI","SI","SI"
"13","34-56","F","Menor a 25000",32,400.57,"SI",1,"NO","SI","SI","SI"
"14","Mayor de 56","F","Mayor a 45000",34,404.11,"SI",1,"SI","SI","SI","SI"
"15","34-56","M","Menor a 25000",35,394.52,"SI",0,"NO","SI","SI","SI"
"16","34-56","F","Menor a 25000",27,373.12,"SI",0,"SI","SI","SI","SI"
"17","34-56","F","Menor a 25000",31,408.97,"SI",2,"NO","NO","NO","SI"
"18","34-56","F","25000-45000",30,414.58,"SI",0,"NO","SI","NO","SI"
"19","Mayor de 56","F","25000-45000",24,401.6,"SI",0,"NO","SI","NO","NO"
"20","Menor 34","M","Menor a 25000",21,350.94,"SI",0,"SI","SI","SI","NO"
"21","Mayor de 56","M","Mayor a 45000",26,391.64,"SI",2,"NO","SI","NO","NO"
"22","34-56","M","Menor a 25000",20,387.04,"SI",2,"NO","SI","SI","NO"
"23","Mayor de 56","M","25000-45000",28,354.62,"SI",0,"NO","SI","SI","NO"
"24","Menor 34","F","Menor a 25000",22,384.59,"NO",0,"SI","SI","SI","SI"
"25","Menor 34","M","Menor a 25000",34,377.79,"NO",2,"SI","SI","SI","NO"
"26","Mayor de 56","M","25000-45000",31,424.83,"SI",0,"SI","SI","SI","SI"
"27","34-56","M","Menor a 25000",29,387.07,"SI",0,"NO","SI","SI","SI"
"28","34-56","F","Menor a 25000",35,395.6,"SI",1,"NO","NO","SI","NO"
"29","34-56","F","25000-45000",30,356.8,"NO",3,"SI","NO","SI","SI"
"30","Mayor de 56","M","Menor a 25000",25,411.43,"SI",1,"NO","NO","SI","NO"
"31","Mayor de 56","F","Menor a 25000",25,390.34,"SI",2,"NO","SI","SI","NO"
"32","Menor 34","F","Menor a 25000",38,412.52,"SI",2,"NO","SI","NO","NO"
"33","34-56","M","Menor a 25000",21,354.75,"SI",1,"SI","SI","SI","NO"
"34","Menor 34","F","25000-45000",16,356.38,"NO",3,"SI","SI","NO","NO"
"35","34-56","M","25000-45000",29,352.81,"NO",0,"NO","SI","SI","NO"
"36","Menor 34","F","Menor a 25000",29,391.66,"SI",2,"NO","SI","SI","NO"
"37","Menor 34","M","Menor a 25000",31,400.43,"SI",3,"SI","SI","SI","NO"
"38","34-56","F","Menor a 25000",33,384.99,"NO",0,"SI","NO","SI","NO"
"39","34-56","F","Menor a 25000",30,368.87,"SI",0,"SI","SI","SI","NO"
"40","Mayor de 56","F","25000-45000",25,400.72,"NO",2,"NO","NO","SI","NO"
"41","Mayor de 56","M","25000-45000",28,388.74,"SI",0,"NO","NO","SI","SI"
"42","34-56","F","25000-45000",31,393.81,"SI",0,"SI","NO","SI","NO"
"43","Mayor de 56","M","Mayor a 45000",26,360.75,"NO",2,"SI","SI","NO","NO"
"44","Menor 34","F","25000-45000",25,377.77,"SI",0,"SI","NO","SI","SI"
"45","Menor 34","M","Menor a 25000",33,313.03,"NO",2,"SI","SI","SI","SI"
"46","Mayor de 56","M","Mayor a 45000",30,364.73,"SI",2,"NO","SI","SI","SI"
"47","34-56","F","Menor a 25000",30,361.11,"NO",1,"SI","SI","SI","NO"
"48","Menor 34","M","Menor a 25000",32,371.56,"NO",2,"NO","SI","SI","SI"
"49","Mayor de 56","M","25000-45000",29,386.96,"NO",2,"SI","NO","SI","NO"
"50","34-56","F","Menor a 25000",34,367.74,"SI",2,"SI","SI","NO","NO"
"51","Menor 34","M","Menor a 25000",36,348.65,"NO",2,"SI","SI","NO","NO"
"52","34-56","M","Menor a 25000",34,429.73,"SI",0,"NO","NO","NO","NO"
"53","34-56","M","Menor a 25000",26,363.69,"SI",1,"NO","SI","SI","NO"
"54","34-56","M","25000-45000",34,365.76,"NO",1,"NO","SI","SI","NO"
"55","Mayor de 56","M","Mayor a 45000",39,375.41,"SI",0,"NO","SI","SI","SI"
"56","Mayor de 56","F","Mayor a 45000",28,369,"NO",3,"NO","SI","NO","NO"
"57","Mayor de 56","F","25000-45000",26,349.76,"NO",0,"NO","NO","SI","NO"
"58","Menor 34","M","Menor a 25000",22,369.49,"SI",0,"NO","SI","SI","NO"
"59","Menor 34","F","Menor a 25000",22,366.85,"SI",0,"NO","NO","SI","NO"
"60","Menor 34","M","25000-45000",24,420.04,"NO",1,"SI","SI","SI","SI"
"61","34-56","F","25000-45000",21,386.6,"SI",1,"NO","SI","SI","SI"
"62","Mayor de 56","F","25000-45000",32,397.15,"NO",1,"SI","NO","SI","NO"
