Id;Edad;Educacion;empleo_años;Ingresos;debito;otra_tarjeta;ratio_tarjeta
1;41;2;6;19;0.124;1.073;6.3
2;47;1;26;100;4.582;8.218;12.8
3;33;2;10;57;6.111;5.802;20.9
4;29;2;4;19;0.681;0.516;6.3
5;47;1;31;253;9.308;8.908;7.2
6;40;1;23;81;0.998;7.831;10.9
7;38;2;4;56;0.442;0.454;1.6
8;42;3;0;64;0.279;3.945;6.6
9;26;1;5;18;0.575;2.215;15.5
10;47;3;23;115;0.653;3.947;4
11;44;3;8;88;0.285;5.083;6.1
12;34;2;9;40;0.374;0.266;1.6
13;24;1;7;18;0.526;0.643;6.5
14;46;1;6;30;1.415;3.865;17.6
15;28;3;2;20;0.233;1.647;9.4
16;24;1;1;16;0.185;1.287;9.2
17;29;1;1;17;0.132;0.293;2.5
18;43;4;1;26;1.519;1.237;10.6
19;44;1;18;61;2.806;3.782;10.8
20;36;1;16;32;0.544;2.944;10.9
21;29;2;6;25;0.585;0.465;4.2
22;36;3;10;43;0.961;4.629;13
23;28;3;6;47;5.574;3.732;19.8
24;45;1;19;77;2.303;4.165;8.4
25;37;4;10;123;3.022;18.257;17.3
26;43;1;9;66;2.341;3.467;8.8
27;24;1;4;21;0.099;0.447;2.6
28;37;1;19;38;2.591;2.539;13.5
29;38;2;13;59;0.408;1.008;2.4
30;34;2;9;45;1.118;3.427;10.1
31;40;3;18;100;1.485;1.015;2.5
32;42;2;12;55;2.533;5.717;15
33;23;2;0;42;1.019;0.619;3.9
34;40;3;5;28;1.263;1.537;10
35;28;1;12;45;1.854;1.611;7.7
36;33;2;5;37;1.029;2.079;8.4
37;35;3;5;37;0.581;1.417;5.4
38;37;1;0;18;1.584;0.738;12.9
39;22;1;1;18;0.27;0.522;4.4
40;39;3;16;126;1.405;7.163;6.8
41;20;1;4;14;0.201;1.157;9.7
42;48;3;17;113;3.376;10.184;12
43;28;2;5;34;3.099;4.993;23.8
44;37;5;9;177;0.888;9.555;5.9
45;48;1;3;27;1.403;4.348;21.3
46;45;3;9;84;1.276;9.728;13.1
47;22;1;4;14;0.225;2.225;17.5
48;30;1;4;21;0.229;0.506;3.5
49;28;1;3;19;0.261;0.518;4.1
50;29;2;10;61;0.798;2.984;6.2
51;47;1;22;81;1.506;2.949;5.5
52;36;1;11;33;1.266;9.459;32.5
53;24;1;3;19;1.358;3.278;24.4
54;56;1;19;66;0.847;1.331;3.3
55;29;3;5;70;3.176;10.754;19.9
56;34;1;2;25;0.573;2.577;12.6
57;32;1;1;20;0.315;0.645;4.8
58;27;3;2;26;0.722;0.838;6
59;40;1;9;64;0.79;3.434;6.6
60;50;1;11;36;0.835;0.893;4.8
61;39;1;17;60;2.45;5.77;13.7
62;34;1;18;34;2.1;3.136;15.4
63;36;1;18;67;5.245;2.259;11.2
64;44;2;18;74;4.522;5.394;13.4
65;24;2;4;20;0.324;0.416;3.7
66;31;1;8;44;1.721;1.799;8
67;34;1;16;79;1.735;1.425;4
68;26;1;4;27;2.472;0.363;10.5
69;38;1;3;23;0.832;2.549;14.7
70;24;1;3;14;0.838;1.416;16.1
71;30;3;8;61;0.55;1.158;2.8
72;40;4;5;75;0.885;0.54;1.9
73;30;2;12;98;2.935;4.121;7.2
74;25;2;5;42;3.366;3.144;15.5
75;29;1;9;33;0.694;0.89;4.8
76;33;1;5;18;0.985;1.337;12.9
77;43;1;8;45;0.677;0.808;3.3
78;35;2;1;21;0.37;1.289;7.9
79;41;2;21;145;3.237;14.453;12.2
80;46;2;18;55;0.419;2.001;4.4
81;33;1;12;68;1.366;5.978;10.8
82;30;3;0;65;3.9;15.405;29.7
83;40;3;18;157;3.326;7.036;6.6
84;38;1;1;42;0.891;2.931;9.1
85;49;2;11;51;0.543;7.107;15
86;26;1;0;15;0.386;0.424;5.4
87;22;4;0;25;1.491;1.559;12.2
88;29;2;2;16;0.433;1.247;10.5
89;28;2;8;31;1.492;1.05;8.2
90;23;4;0;32;0.818;5.07;18.4
91;37;2;11;75;0.633;1.992;3.5
92;35;2;5;33;0.103;0.821;2.8
93;31;1;1;21;0.277;0.248;2.5
94;29;1;1;20;0.569;3.151;18.6
95;34;3;7;27;0.125;0.469;2.2
96;47;2;7;49;0.254;0.187;0.9
97;37;1;5;27;0.419;2.119;9.4
98;38;1;10;34;0.036;0.372;1.2
99;32;2;5;28;2.594;1.55;14.8
100;22;3;0;20;0.219;0.721;4.7
101;30;1;7;33;1.165;7.217;25.4
102;38;4;13;126;7.613;9.649;13.7
103;36;1;20;60;1.056;2.184;5.4
104;44;1;5;48;1.97;2.35;9
105;27;2;4;22;1.086;1.818;13.2
106;47;1;19;50;3.176;11.874;30.1
107;41;1;7;32;0.072;0.856;2.9
108;25;1;8;27;1.019;2.869;14.4
109;33;2;10;54;0.12;1.5;3
110;42;3;13;82;1.315;1.391;3.3
111;36;1;14;53;1.888;1.133;5.7
112;25;4;0;32;2.14;3.492;17.6
113;30;1;10;39;2.056;1.649;9.5
114;24;1;0;16;1.009;1.551;16
115;32;1;7;23;0.861;1.393;9.8
116;39;2;9;32;1.43;0.682;6.6
117;30;1;4;18;0.227;1.699;10.7
118;33;1;16;46;2.4;1.326;8.1
119;32;2;12;63;5.55;5.916;18.2
120;33;1;7;26;0.543;1.017;6
121;29;2;6;21;0.369;2.046;11.5
122;28;2;5;37;1.124;1.947;8.3
123;33;4;9;32;0.496;1.264;5.5
