distrito;ocu_vivi;pobpjov;sinelect;sinagua;pea1619;pocprin;peam15
Ate;1.15;5.3;27.6;51.1;3.9;1.1;63.48
Barranco;1.09;4.5;1.59;8.32;0.8;3.9;33.48
Breña;1.08;4.4;2.2;23.15;0.9;4;37.89
Carabayllo;1.1;5.1;30.13;38.09;4.5;12.6;63.65
Comas;1.2;5.9;10.92;24.27;3.8;9.4;60.37
Chorrillos;1.15;5.5;16.77;37.11;3.2;10.6;18.78
Agustino;1.22;6;16.42;41.16;4.5;13.5;55.84
Independencia;1.19;5.9;9.61;21.58;4;10.5;60.16
Jesús María;1.03;4.2;0.57;14.78;0.3;3.1;23.52
La Victoria;1.06;4.7;3.09;25.79;1.7;7.8;49.21
Lima;1.1;4.6;4.55;26;1.7;6.6;46.66
Lince;1.03;4.1;1.14;20.22;0.5;3.6;29.42
Los Olivos;1.11;5.1;30.25;46.18;2;6.7;52.8
Lurigancho-Chosica;1.1;5.2;32.93;65.76;5.4;14.4;60.66
Magdalena del Mar;1.08;4.5;1.41;15.16;0.7;4.1;28.99
Pueblo Libre;1.09;4.7;1.24;13.02;0.5;3.9;26.71
Miraflores;1.03;3.7;0.67;14.75;0.2;4;22.45
Rímac;1.12;5;7;25.6;0.2;6.9;48.75
San Borja;1.06;4.8;1.77;8.26;0.4;4.2;18.67
San Isidro;1.03;3.9;0.46;13.94;0.1;4.9;16.29
San Juan de Lurigancho;1.12;5.2;23.49;50;3.6;10.3;61.83
San Juan de Miraflores;1.15;5.4;20.14;41.8;4.2;10.8;57.9
San Luis;1.1;5.5;3.94;12.36;1.7;7;38.61
San Martin de Porres;1.18;5.5;9.62;24.04;2.5;6;49.33
San Miguel;1.11;5.1;4.16;15.04;0.9;4.2;32.34
Santa Anita;1.2;6.1;12.14;35.3;3.9;11.8;65.11
Surco;1.03;4.5;5.44;15.95;0.9;4.9;27.16
Surquillo;1.09;4.7;3.15;21.87;1.2;5.5;38.54
Villa el Salvador;1.06;4.8;24.11;38.73;4.2;11.7;64.84
Villa María del Triunfo;1.18;5.6;1.79;9.3;2.2;4.6;38.72
Callao;1.14;5.3;15.98;33.22;3.2;8.6;56.88
Carmen de la Legua;1.33;6.5;2.73;7.02;4.02;8.7;60.97
La Perla;1.17;5.3;1.99;9.12;1.5;3.9;38.1
La Punta;1.05;4.2;0.35;7.74;0.2;9;15.63
