permanencia;edad;direccion;ingresos;educacion;empleo;equipo;internacional;otro_servicio;internet;churn
11;33;7;136;5;5;0;1;1;0;1
33;33;12;33;2;0;0;0;0;0;1
23;30;9;30;1;2;0;0;0;0;0
38;35;5;76;2;10;1;1;1;1;0
7;35;14;80;2;15;0;1;0;0;0
68;52;17;120;1;24;0;1;0;0;0
42;40;7;37;2;8;1;1;1;1;0
9;21;1;17;2;2;0;0;0;0;0
35;50;26;140;2;21;0;1;0;0;0
49;51;27;63;4;19;0;1;0;1;0
56;52;28;49;2;12;0;1;0;0;0
47;40;16;127;4;12;1;1;0;1;0
56;50;1;80;2;24;0;1;1;0;0
69;51;11;438;4;23;1;1;0;1;0
16;27;5;37;3;5;0;0;0;0;0
4;35;16;161;5;6;1;0;1;1;1
27;51;3;80;5;11;1;0;0;1;0
52;61;3;53;5;1;1;1;1;1;0
64;25;4;76;3;2;1;1;0;0;0
12;24;2;19;1;0;0;1;0;0;1
35;61;23;41;2;11;0;1;0;0;0
13;54;2;31;4;2;0;0;0;1;0
45;22;2;36;4;0;1;0;0;0;1
3;37;13;24;1;3;0;0;0;0;0
53;22;1;25;4;0;1;1;0;1;0
17;42;6;131;5;6;1;0;1;1;1
59;43;4;101;2;22;0;1;0;0;0
57;37;11;108;4;9;1;1;0;1;0
3;24;2;20;2;3;0;1;0;1;0
4;47;5;123;4;11;1;1;0;1;0
29;26;7;34;1;7;0;1;0;0;0
64;55;28;104;1;26;0;1;0;0;0
22;34;1;46;3;1;1;0;0;1;0
33;54;18;57;4;4;1;0;0;1;1
18;69;11;58;3;8;1;1;1;1;0
65;65;27;128;3;24;0;1;0;0;0
39;24;2;26;2;4;0;1;0;0;1
28;29;4;23;3;5;0;0;0;1;0
46;42;9;52;4;7;0;1;0;0;0
43;43;3;55;4;18;1;1;1;1;0
21;29;7;40;4;2;1;1;1;1;0
53;57;25;37;1;7;0;1;0;0;0
50;52;17;36;4;16;0;1;1;0;0
43;21;1;25;1;4;0;0;0;1;1
33;33;12;42;4;7;1;1;1;0;0
45;66;43;144;2;13;0;1;0;1;0
28;57;33;82;4;22;1;0;0;1;1
37;33;1;102;2;12;1;1;1;1;0
71;56;23;170;1;30;0;1;0;0;0
58;58;10;96;2;17;0;0;0;0;0
36;58;34;80;1;21;0;1;0;0;0
26;39;15;58;4;9;0;1;1;1;0
13;43;1;123;3;21;1;1;0;1;0
28;40;7;64;1;19;0;0;0;0;0
1;21;1;18;3;0;1;0;0;1;1
15;35;5;34;3;8;1;0;0;1;1
12;64;13;9;2;6;1;1;0;1;0
5;30;3;46;4;7;1;0;0;1;1
32;27;3;91;4;1;1;1;1;1;1
14;36;13;67;5;4;1;0;0;1;0
67;60;32;93;1;21;1;1;0;0;0
60;45;23;117;4;11;1;1;1;1;0
70;55;12;65;3;24;0;1;0;0;0
6;24;2;28;1;5;0;1;0;0;1
38;33;3;38;4;0;1;1;0;1;0
53;35;15;59;3;5;0;1;0;0;0
37;76;38;117;4;21;0;1;0;0;0
61;45;21;80;2;13;0;1;0;0;0
20;31;10;39;2;3;0;0;0;0;0
72;60;33;12;1;20;0;1;1;0;0
61;43;6;34;5;6;1;1;1;1;1
54;27;3;27;2;6;1;1;1;1;0
28;36;3;42;3;7;0;1;0;1;0
52;42;17;27;3;8;0;1;0;1;0
43;27;3;21;2;1;0;1;0;0;0
46;45;12;96;3;17;1;1;0;1;0
39;59;20;1668;4;27;0;0;0;1;0
10;34;1;52;5;3;1;0;1;1;1
69;46;18;66;2;19;0;1;0;0;0
45;30;0;63;5;4;1;1;1;1;1
52;62;23;36;4;17;0;1;0;0;0
42;36;14;44;2;11;0;0;1;0;0
5;44;5;83;1;16;1;0;0;0;1
10;33;2;66;3;9;0;1;0;1;1
26;30;9;18;4;1;0;1;0;0;1
25;30;0;20;1;4;0;1;0;0;0
30;23;4;19;3;1;1;1;0;1;0
65;59;27;197;4;26;1;1;0;0;0
5;32;6;33;4;3;1;0;0;1;1
7;23;3;27;2;1;0;1;0;0;0
25;29;9;55;4;1;0;0;0;0;1
8;22;3;25;4;0;0;1;1;0;0
39;47;1;68;4;10;0;0;0;1;1
28;36;3;69;3;2;1;1;1;0;0
55;52;22;127;1;28;0;1;0;0;0
11;63;9;41;3;3;1;0;0;1;1
51;48;27;58;1;18;0;1;0;0;1
25;62;27;28;4;33;1;1;1;0;1
62;76;20;35;3;18;0;1;0;0;0
53;33;1;60;1;6;0;1;1;0;0
1;30;3;135;4;3;1;1;0;1;1
20;32;10;19;3;5;1;0;0;1;0
34;63;10;23;2;0;1;1;1;1;0
44;45;19;88;1;21;0;1;0;0;0
12;23;2;24;4;0;0;1;1;1;0
39;34;4;20;5;3;1;1;1;1;0
19;26;2;48;3;0;0;1;0;0;0
7;27;3;39;3;2;0;0;0;0;1
32;34;0;38;1;10;0;1;0;0;0
35;34;7;78;4;10;0;1;0;0;0
56;42;10;24;2;5;0;0;0;0;0
5;47;7;46;1;6;0;1;0;0;1
16;50;5;263;2;29;1;0;1;0;0
17;42;6;31;2;2;0;0;1;0;1
9;24;3;26;4;1;1;0;0;0;0
9;41;12;39;4;3;1;0;1;1;1
71;41;10;73;2;23;0;1;0;0;0
11;26;2;53;3;3;1;1;1;1;1
23;50;1;151;4;8;0;0;0;0;0
24;58;30;24;1;5;0;0;0;0;0
4;24;1;17;2;2;0;0;0;0;1
10;28;9;75;4;1;1;1;1;1;1
24;35;10;41;5;6;1;0;0;1;0
12;31;8;18;4;4;1;0;0;1;1
59;55;29;42;3;21;0;1;0;0;0
