ID;Edad;Experiencia;Ingreso;Postal;Familia;credito;educacion;cuenta de ahorros;servicios online;Mora
1550;57;31;45;94305;3;1.4;1;0;1;0
4703;35;5;108;90630;2;2.75;3;0;0;0
2478;40;14;179;90025;1;2.6;3;1;1;0
3109;42;15;21;95678;3;1;2;0;1;0
2733;33;9;38;93106;1;2.1;3;0;0;0
2372;32;6;NA;95014;2;1.5;3;0;0;0
793;41;16;NA;93117;1;4;3;1;0;1
2268;NA;13;168;92647;2;1.3;3;0;0;0
1432;58;34;128;90058;1;7.4;1;0;0;0
2690;NA;16;104;91730;1;3.4;1;0;0;0
1030;41;17;20;94720;1;1.4;3;0;1;0
417;40;15;85;94304;2;0.4;1;0;1;0
816;62;38;NA;94596;1;1.9;2;0;0;0
2093;53;23;19;92673;4;0.4;3;0;1;0
2571;NA;4;154;95621;2;4.5;1;0;1;0
2743;39;NA;89;95762;2;0.4;1;0;1;0
3434;34;9;NA;94306;4;1.3;1;0;0;0
4212;40;16;NA;94301;2;1.8;2;0;0;0
1600;50;24;124;93305;1;4.9;1;0;1;0
2090;53;29;95;94304;1;2.7;2;0;1;0
3945;56;26;62;91320;3;1.4;3;0;1;0
3851;48;23;15;94061;4;0.8;1;0;1;0
2892;59;33;63;90044;1;1.6;1;0;1;1
1586;57;31;131;90502;2;2.7;1;0;0;0
1576;50;26;88;90037;1;2.7;1;1;1;0
281;33;NA;64;92121;4;2.1;3;0;1;0
462;55;30;81;92123;2;3.7;1;0;0;0
1459;51;25;33;93033;1;1.4;3;1;1;1
3663;35;9;164;94305;2;0;1;0;0;0
10;34;9;180;93023;1;8.9;3;0;0;0
817;NA;23;65;94035;3;0.7;2;0;1;1
221;32;6;25;92130;2;0.3;1;0;0;1
2624;42;17;111;94304;3;3;1;0;0;1
2537;51;25;104;94949;1;4.2;2;0;1;0
3290;50;25;44;94303;1;0.3;1;0;1;1
1096;50;25;43;92129;1;1.4;3;0;1;0
3515;35;9;NA;90024;4;1.2;2;0;1;0
4827;56;NA;81;93943;2;0;3;0;0;0
3742;53;29;51;92152;2;3.2;3;0;1;0
1485;55;30;40;94126;2;2.3;3;1;1;0
1726;57;32;19;95348;1;1.3;1;0;1;0
1597;45;20;55;92606;4;1.9;3;0;0;0
3735;43;19;72;95193;4;0.2;3;0;1;0
909;66;36;55;93023;4;1.67;3;0;0;1
1011;27;3;98;95616;2;2.5;1;0;1;1
1813;43;19;128;95054;1;4.7;1;0;1;0
2156;62;38;154;94305;1;2.9;1;0;1;0
3914;45;20;62;92064;3;0.8;3;0;1;0
1108;47;21;79;94110;3;1.1;1;0;1;1
2701;31;5;39;94590;4;2.2;2;0;1;1
1551;40;14;39;93117;1;2;1;0;1;0
120;32;7;NA;94304;1;4.6;1;0;0;0
4221;54;30;39;94806;4;0.1;3;0;1;0
1331;34;9;64;92346;2;0.1;1;0;1;1
3897;48;24;224;93940;2;6.67;1;0;1;1
1907;42;17;98;92866;2;0.4;1;0;1;0
4729;59;35;31;90630;3;0.4;2;0;1;0
3780;53;27;64;93407;4;2.6;1;0;1;1
3911;33;8;62;94596;1;1;1;0;1;0
3689;51;26;179;90245;1;8.1;1;0;1;0
2068;58;32;180;91770;1;2.9;1;0;0;1
4880;40;NA;43;90095;4;1.7;1;0;0;0
528;33;8;65;90027;2;0.1;1;0;1;0
881;57;31;58;91604;1;0.2;1;0;1;0
474;64;39;182;93955;1;1.2;2;0;1;0
3156;55;29;62;92626;3;0.3;2;0;1;0
4394;24;0;59;95521;4;1.6;1;0;0;0
2584;37;11;71;91302;1;2.5;1;0;1;1
979;52;26;68;92068;1;0.8;3;0;1;1
3700;46;22;NA;94501;4;1.4;2;0;1;1
1475;48;23;79;92124;2;3.8;3;0;1;0
4806;30;6;160;90630;1;4.3;1;0;1;0
1352;59;35;84;94588;1;1.8;3;0;1;1
1134;31;4;28;94126;1;2;2;0;0;0
50;40;NA;49;92373;1;1.8;1;0;0;1
1874;28;4;69;94538;3;0.7;2;0;1;0
640;62;36;32;92646;2;0.2;3;0;1;1
727;58;33;53;91030;4;2.1;1;0;1;0
3734;NA;32;72;94105;3;0.3;2;0;1;0
4955;45;19;22;94904;3;1.5;1;0;1;1
4181;36;6;11;92008;1;0.67;3;1;1;1
1905;38;14;91;95060;2;0;1;0;1;0
3840;31;5;42;93010;2;2;3;0;1;0
1376;50;26;179;92612;1;2.9;3;0;0;1
1971;27;3;NA;92780;1;1.5;1;0;1;1
242;48;22;NA;91711;1;1.4;3;0;0;1
1864;48;22;43;94588;1;1.2;2;0;1;0
475;60;34;NA;90028;2;6.9;1;0;1;0
2299;48;24;9;92630;4;0.5;2;0;0;1
1124;46;20;91;92521;4;2.6;3;0;0;0
1975;39;13;63;90095;4;0.2;3;0;0;0
3746;27;3;119;90640;1;5.4;1;0;1;0
310;62;38;NA;95929;1;3.8;1;0;1;0
4904;40;15;18;94534;2;0.1;2;0;1;1
4897;40;15;81;94304;2;0.4;1;0;1;0
4778;32;NA;30;94534;4;0.4;2;0;1;0
3267;57;31;NA;92821;1;2.2;3;0;1;1
4767;41;15;54;91775;3;2.1;1;0;1;0
2194;45;19;25;94609;2;0.1;3;0;1;0
2199;59;NA;58;91355;1;0;2;0;1;0
4664;28;3;115;92407;1;1.9;1;1;1;0
4182;47;22;22;90024;1;0.4;3;0;1;0
1298;61;NA;90;95814;4;1.9;2;0;1;0
3985;34;8;18;95741;4;0.3;1;0;0;0
1843;53;29;93;95051;1;2.7;2;0;1;0
4471;44;20;111;91911;2;5.3;2;0;1;0
1444;36;12;25;95051;4;1;1;0;1;0
2129;65;40;40;94104;1;1.1;3;0;0;0
2737;53;29;NA;95621;1;0.3;1;0;0;0
998;46;20;69;92780;3;2.1;1;1;0;0
47;39;NA;43;95014;3;0.7;2;0;1;0
4987;32;NA;78;95825;1;2.9;3;0;0;0
3101;52;NA;81;90024;4;3.8;2;0;0;1
4924;40;15;73;92029;3;3;1;0;1;1
1962;52;NA;114;94304;1;4.9;1;0;0;0
1542;61;NA;154;92704;2;6.9;1;0;0;0
2043;41;17;121;94102;1;0.3;1;0;1;0
286;40;13;NA;94305;3;2.33;2;0;0;0
1969;54;24;49;91801;1;1.4;3;0;1;0
1668;44;20;22;90024;1;1;1;0;0;0
2120;39;13;50;94923;3;0.5;3;0;0;0
2376;55;30;69;91007;4;1.3;3;0;1;1
509;47;NA;15;95521;2;0.7;3;0;0;0
169;50;26;13;91320;4;1;1;1;1;0
1264;NA;5;85;92870;4;4;3;0;1;0
3798;61;35;31;92521;2;0.3;1;0;1;0
3963;29;5;31;93014;1;1;3;0;0;0
3580;28;2;84;94305;1;2.9;3;0;0;1
919;41;NA;64;92325;3;0.5;3;0;0;0
2661;39;14;74;93063;1;0.1;2;0;1;0
2731;56;30;43;90401;2;0.3;1;0;0;0
2785;36;9;115;91765;4;2.2;2;0;0;0
730;58;28;90;93106;1;3;3;1;0;1
1426;64;38;40;91330;1;2.5;3;0;1;1
4972;58;28;73;90024;1;1.4;3;0;0;0
2674;54;NA;88;92647;4;1;2;0;1;0
325;56;30;158;90089;4;6.1;1;1;0;0
3981;46;22;89;92866;4;1.4;2;0;1;0
873;32;7;44;90095;4;0.8;1;0;1;0
1655;60;34;102;94305;2;2;1;0;1;1
1890;56;30;111;93106;4;0.3;1;0;1;0
1966;NA;20;94;90095;3;0.5;3;0;1;0
4549;58;33;73;93109;4;0.7;1;0;0;0
4645;58;34;22;94608;1;0.1;2;0;1;0
1917;57;NA;64;95138;3;1.6;3;0;1;0
1172;64;40;43;95014;1;1.9;2;0;1;0
1391;NA;NA;80;94305;4;1.8;2;0;1;1
1225;59;NA;45;94920;1;1.8;3;0;1;0
3172;39;12;62;91910;3;2.33;2;1;0;0
4226;43;18;204;91902;2;8.8;1;0;1;0
3710;37;11;43;92521;4;1.2;2;0;0;0
1892;42;18;50;95126;4;2.2;2;0;0;0
1748;29;5;NA;90717;4;0.4;2;0;0;1
2495;35;9;63;92697;2;1.8;1;0;1;0
2318;31;5;129;95814;3;5.9;3;0;0;1
4714;25;1;122;93022;2;0.2;1;0;1;0
480;60;NA;132;92154;2;6;1;0;1;1
2417;60;35;NA;93611;1;0.3;3;0;1;0
2651;NA;40;52;95060;2;1.1;1;1;0;0
4251;52;28;54;90041;4;0.1;3;0;0;1
2230;NA;22;72;91711;4;1.4;2;0;1;1
1236;54;28;60;94110;4;2.6;3;0;0;0
123;58;32;73;94523;2;0.7;2;0;1;1
2352;55;31;74;94611;2;3.2;3;0;1;1
4624;50;25;45;90813;2;0.6;3;0;0;0
